PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY,hyperparams
0.17312734082396947,0.45808773259615965,0.4577222101204459,0.09989927025741635,0.23770825695724246,0.3394622049818674,0.3313894519159101,0.2512301988820953,0.6170411985018727,0.5656121812020694,0.036505461459526566,0.3904846908989654,0.7598562949078413,0.975914481897628,0.03573153066151617,0.02993722839208112,0.2708836310960889,0.720161834120027,0.44436952124072826,0.720161834120027,0.019148753488641132,5.654956241846581,0.9900840472286263,0.16295634515229196,0.7873316248071082,0.7016969140444335,0.5497505429986382,"{'batch_size': 64, 'embeddings_dim': 256, 'heads': 16, 'attention_blocks': 8, 'd_ff': 2048, 'epochs': 266, 'l2_reg': 7.95111071011862e-05, 'learning_rate': 0.0029871109193974044, 'noise_timesteps': 16, 'inference_timesteps': 3, 'start_beta': 0.0005901513031799337, 'end_beta': 0.061949945893861866}"
0.2029962546816466,0.6262406367041204,0.6257196958284758,0.1166053593722132,0.3222044610950218,0.44653966767730763,0.44291012002419444,0.30654352593438644,0.802434456928839,0.6982715058557766,0.027922063341329666,0.6625904894062282,0.6531240237425805,0.9652512484394506,0.027522935779816515,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5778826702629805,0.720161834120027,0.013575513715963152,5.156177302464158,0.9792659914105722,0.1155279428517596,0.7178873327615706,1.1906681939852026,0.42048967112926416,"{'batch_size': 128, 'embeddings_dim': 64, 'heads': 1, 'attention_blocks': 3, 'd_ff': 4096, 'epochs': 273, 'l2_reg': 0.0002712250542485805, 'learning_rate': 0.0015737204080132946, 'noise_timesteps': 37, 'inference_timesteps': 33, 'start_beta': 0.0002281853632201928, 'end_beta': 0.057584565736781834}"
0.20636704119850044,0.6440074906367049,0.6434879684422542,0.11855221895249977,0.3330428977666804,0.4568548986386056,0.4551390320227135,0.3125114439235845,0.8099250936329588,0.710276960347186,0.027970589283736136,0.6628698165063437,0.657523632011064,0.9656907973179593,0.028971511347175277,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5832771409305462,0.720161834120027,0.013824237560192618,5.190048364665624,0.979711922217688,0.11764458864971739,0.722603153237719,1.1911701418687644,0.42122044296780276,"{'batch_size': 64, 'embeddings_dim': 1024, 'heads': 8, 'attention_blocks': 13, 'd_ff': 1024, 'epochs': 151, 'l2_reg': 1.256591907835062e-05, 'learning_rate': 0.0005269507267106138, 'noise_timesteps': 42, 'inference_timesteps': 32, 'start_beta': 0.00036969171552414385, 'end_beta': 0.15506043666896202}"
0.20533707865168413,0.6417071666369423,0.6411805510365217,0.11788671898222434,0.332252954309758,0.45755231555793313,0.4544991207354905,0.31105823817658584,0.8099250936329588,0.7093833600856081,0.02797231230436852,0.663335960445126,0.6652392686274303,0.9664616385417105,0.0294543698696282,0.024625784645098986,0.2708836310960889,0.720161834120027,0.5832771409305462,0.720161834120027,0.014118874090784205,5.211124126524045,0.9804939554928765,0.12015195249468187,0.7255375019962904,1.192007797661597,0.4212463906339979,"{'batch_size': 64, 'embeddings_dim': 512, 'heads': 16, 'attention_blocks': 13, 'd_ff': 2048, 'epochs': 355, 'l2_reg': 0.0001545486355907948, 'learning_rate': 0.00010854849423182717, 'noise_timesteps': 55, 'inference_timesteps': 40, 'start_beta': 3.195761517746108e-05, 'end_beta': 0.15534211250507213}"
0.20533707865168402,0.6371752571190781,0.6366499372182001,0.11728505291005288,0.327616875913564,0.4529219428095827,0.449486080091199,0.3105222189135638,0.8127340823970037,0.7027603144878445,0.02793229142651156,0.6654432633668347,0.6529953771468888,0.9652383958254429,0.027522935779816515,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5853000674308834,0.720161834120027,0.01352734154700447,5.154228991886914,0.9792529521859984,0.11511799655440808,0.7176160722129815,1.1957945990179208,0.42064370001036233,"{'batch_size': 512, 'embeddings_dim': 128, 'heads': 16, 'attention_blocks': 5, 'd_ff': 1024, 'epochs': 50, 'l2_reg': 0.00040373257930898985, 'learning_rate': 0.0022602537218384382, 'noise_timesteps': 65, 'inference_timesteps': 21, 'start_beta': 7.670565412556814e-05, 'end_beta': 0.12036279554085258}"
0.2074906367041185,0.6461640211640217,0.6456459176507648,0.11781337316449664,0.3247819876927741,0.44392128886510845,0.4484416927499315,0.31405402067216026,0.8117977528089888,0.6974537037037047,0.027902747065841477,0.6678980411176665,0.6588229099754641,0.9658206034591592,0.028005794302269436,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5846257585974376,0.720161834120027,0.013805438664989223,5.182305142951026,0.9798436130492294,0.11748460960684844,0.7215250753405492,1.200205809015573,0.42019877950609935,"{'batch_size': 128, 'embeddings_dim': 1024, 'heads': 8, 'attention_blocks': 5, 'd_ff': 2048, 'epochs': 326, 'l2_reg': 0.0001378664684410409, 'learning_rate': 0.00037020047762975557, 'noise_timesteps': 15, 'inference_timesteps': 3, 'start_beta': 0.000510496036522937, 'end_beta': 0.12542921922332437}"
0.20739700374531703,0.6469123417157125,0.6464327929501976,0.11928660602817895,0.32971299575455043,0.4487407853278632,0.45229616088159214,0.3140396947950462,0.8099250936329588,0.7073070863801212,0.02787500383215334,0.6666946218306249,0.6536233410205379,0.9653011334146924,0.028005794302269436,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5832771409305462,0.720161834120027,0.01357650788830564,5.15865549668634,0.9793166006792113,0.11553640328191134,0.7182323682667261,1.198043277116884,0.4197809829032129,"{'batch_size': 64, 'embeddings_dim': 64, 'heads': 4, 'attention_blocks': 3, 'd_ff': 2048, 'epochs': 124, 'l2_reg': 0.00019830676289595066, 'learning_rate': 0.0013170426808908602, 'noise_timesteps': 34, 'inference_timesteps': 15, 'start_beta': 0.0001662404844961511, 'end_beta': 0.10241445145287685}"
0.15739700374531745,0.45762997146424084,0.4573618304475869,0.08869556655371266,0.23315204421344082,0.32329157006123266,0.3224910314230176,0.2341971444279734,0.6329588014981273,0.511582991498722,0.029354065622790103,0.5524282820934271,0.700351715931468,0.9699695955897825,0.028005794302269436,0.024142926122646065,0.2708836310960889,0.720161834120027,0.45583277140930545,0.720161834120027,0.015294166558211501,5.322487601072996,0.9840528455145778,0.13015371919404328,0.7410424823375987,0.9927078572105235,0.4420547740024597,"{'batch_size': 512, 'embeddings_dim': 1024, 'heads': 16, 'attention_blocks': 2, 'd_ff': 1024, 'epochs': 147, 'l2_reg': 0.0001950150800458652, 'learning_rate': 0.0003093898716204335, 'noise_timesteps': 22, 'inference_timesteps': 21, 'start_beta': 0.0007901885231383713, 'end_beta': 0.11039837878787094}"
0.20458801498127208,0.6333177278402001,0.6328439308319243,0.11920568039950058,0.329727612486942,0.4518499940550496,0.44938373255145175,0.30921266915874224,0.800561797752809,0.7093666399143937,0.027878962257368536,0.6655915716864691,0.6531715861265265,0.9652560002244386,0.027522935779816515,0.024142926122646065,0.2708836310960889,0.720161834120027,0.576534052596089,0.720161834120027,0.013562499096206961,5.154995580462671,0.9792708121880068,0.11541718812977346,0.7177228032650175,1.1960611075204053,0.419840594433227,"{'batch_size': 256, 'embeddings_dim': 128, 'heads': 1, 'attention_blocks': 5, 'd_ff': 2048, 'epochs': 286, 'l2_reg': 0.0004467395741080824, 'learning_rate': 0.007435296372369287, 'noise_timesteps': 56, 'inference_timesteps': 46, 'start_beta': 0.00099279042597641, 'end_beta': 0.16692420204286298}"
0.2054307116104855,0.6383144581178292,0.6378009380361224,0.11723901670530867,0.3299636899512887,0.44670352535521035,0.4504460184889954,0.31076608811234,0.8099250936329588,0.6978880565959228,0.027914503236166607,0.6666078373256443,0.6601271021345156,0.9659509005596937,0.0294543698696282,0.024142926122646065,0.2708836310960889,0.720161834120027,0.5832771409305462,0.720161834120027,0.013829389180512778,5.185855584290771,0.9799758019684762,0.11768842906050357,0.7220193983077402,1.1978873262672065,0.42037582044083704,"{'batch_size': 512, 'embeddings_dim': 1024, 'heads': 8, 'attention_blocks': 5, 'd_ff': 1024, 'epochs': 197, 'l2_reg': 0.00030399131299749173, 'learning_rate': 0.0006706115277834726, 'noise_timesteps': 32, 'inference_timesteps': 17, 'start_beta': 0.00011757746300362414, 'end_beta': 0.1792631874527922}"
