PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY,RECOMMENDER,PARAMS,TIMESTEPS
0.2203090138331096,0.27585686661991765,0.17246033949597966,0.14431206085364343,0.1716576135681967,0.490925275174774,0.24960120669835237,0.1934701218292258,0.7717536813922357,0.802979045812886,0.02373466706164889,0.5289151477612596,0.9213937899435959,0.9921236971626357,0.16353335050218903,0.1400978624774659,0.8550090136492403,0.9894039735099338,0.7635761589403973,0.9894039735099338,0.03788204282050238,7.606488186555298,0.9929343669996855,0.10827784528237903,0.7034115421338013,1.896194039283248,0.057184660766544354,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},2
0.21719656403391366,0.271120394275514,0.16910624509916786,0.14257814547431275,0.16940784235349807,0.48875017264826626,0.24607480020706748,0.19015805489295756,0.7635542168674698,0.7969752023968929,0.023745221239726996,0.5278197306708831,0.9203911405734514,0.9920234456484462,0.16353335050218903,0.14215812516095802,0.8550090136492403,0.9894039735099338,0.7554635761589404,0.9894039735099338,0.03803466408818986,7.607662467260258,0.9928340335694216,0.10871408104948825,0.7035201339808292,1.892266900183351,0.05721008927125009,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},3
0.21546184738955867,0.2694423859458995,0.16861506440740298,0.14127193961029236,0.16800060874323622,0.4880716649667464,0.2445481844871024,0.18918144860597091,0.7635542168674698,0.793420839442429,0.02377476823882025,0.5243381651129937,0.9212492424369724,0.9921095084263873,0.16507854751480813,0.14293072366726758,0.8550090136492403,0.9894039735099338,0.7554635761589404,0.9894039735099338,0.03875966447320349,7.632570278859776,0.9929201666697413,0.11078634203842531,0.7058234889244894,1.8797852688929886,0.057281277761715474,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},4
0.21459170013386905,0.2687254308238234,0.16860637852685736,0.14058077548288347,0.1672554620725273,0.48672122351841285,0.24388120651680256,0.18883982690073545,0.7635542168674698,0.7910223566222582,0.02381706869723052,0.5191330295691927,0.9236076971764324,0.9923453144348926,0.1671388101983003,0.1462786505279423,0.8550090136492403,0.9894039735099338,0.7554635761589404,0.9894039735099338,0.03988680434060306,7.674708938999554,0.9931561653566585,0.1140080340879322,0.7097202700914891,1.8611245309020399,0.057383193552578586,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},5
0.2071619812583672,0.25948071386073307,0.16415900182504045,0.1351482650177425,0.1613105013064766,0.48212386583370576,0.23637335306603752,0.1831703868554737,0.7521753681392236,0.7754577171118359,0.024017765999782954,0.49483702245798206,0.9336096183898774,0.9933453391880777,0.17434972959052278,0.14936904455318054,0.8550090136492403,0.9894039735099338,0.7442052980132451,0.9894039735099338,0.04469898130110556,7.846760318785652,0.9941570072356778,0.12776262897262827,0.7256307564307038,1.7740218187606662,0.05786673971454544,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},10
0.19934738955823403,0.24995079524446914,0.1598914974199957,0.12823785220246012,0.15370469996218986,0.4756231938335363,0.22803241791197007,0.17745268554495244,0.7453145917001339,0.7536915519219779,0.0241538348355828,0.47903525916225753,0.9375958002162065,0.993743890667534,0.17924285346381663,0.1542621684264744,0.8550090136492403,0.9894039735099338,0.7374172185430463,0.9894039735099338,0.04750287624924691,7.934518931118595,0.9945558843737832,0.13577697246570355,0.7337462519553993,1.7173715044364444,0.05819457453084609,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},15
0.18729919678715118,0.23547775759121045,0.1526542131239276,0.11870646607594353,0.14298641922713062,0.46334232432375133,0.21681809285546674,0.16821135291312422,0.731760374832664,0.7198580698455248,0.024301043974532765,0.4627485427119032,0.9417509312003942,0.9941593342356485,0.17512232809683234,0.1516868400721092,0.8550090136492403,0.9894039735099338,0.7240066225165563,0.9894039735099338,0.04958788121935045,8.001329389793163,0.9949716674031671,0.14173652028194955,0.7399245627098957,1.6589826025806818,0.05854925002095191,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},20
0.15855087014726044,0.2007508871464705,0.13448825913162893,0.0975770741696949,0.11902396694677399,0.42466712086441033,0.18674166636449535,0.1455316261850915,0.6767068273092369,0.6304479824058171,0.02456784244169859,0.4355172888103024,0.9434030403342799,0.9943245175033019,0.17100180272984805,0.1400978624774659,0.8550090136492403,0.9894039735099338,0.6695364238410596,0.9894039735099338,0.049972038859178565,8.015942053940638,0.9951369856429949,0.14283455403072196,0.7412758717990002,1.5613568462585516,0.059192055744675925,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},30
0.1293842034805928,0.166463672148915,0.11429479760885976,0.07817304934021845,0.09724956051635812,0.3744346433352451,0.1560383266669054,0.1213723077038497,0.6044176706827309,0.5322644413633387,0.024538022372272164,0.43880587432711565,0.9471547332986059,0.9946996240204011,0.16482101467937163,0.13443214009786247,0.8550090136492403,0.9894039735099338,0.5980132450331126,0.9894039735099338,0.05047110860193262,8.041571154301895,0.9955123986617329,0.14426103983686211,0.7436459280676051,1.5731466319756915,0.059120209337487836,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},40
0.10374832663989582,0.1344067407194935,0.09194080296055158,0.06151701382248596,0.07750058700937144,0.3151587832812724,0.12516571958478842,0.09748834262344021,0.5200803212851406,0.43325378232506684,0.024597903706832947,0.4276013098930054,0.9379125147731792,0.9937755568234563,0.1545197012619109,0.12387329384496523,0.8550090136492403,0.9894039735099338,0.5145695364238411,0.9894039735099338,0.04519501797095695,7.872867650809647,0.9945875764042991,0.12918044537833398,0.7280450372695879,1.5329775644368753,0.05926448327207525,DiffusionAutoencoderRecommender_ItemKNNCFRecommender_TwoLevelRec,{'n_items_to_rank': 11},60
